"Pollster","Dates","N.Pop","McCain","Obama","Barr","Nader","Other","Undecided","Margin","Starting.Date","End.Date","Len","Day","N","Pop","MainPollster"
"Economist/YouGov","2/25-26/08","1000 A",44,43,"-","-","-","13","+1R","2/25/08","2/26/08",2,56.5,1000,"A",NA
"Democracy Corps (D)","2/24-26/08","1956 LV",47,48,"-","-","2","4","+1D","2/24/08","2/26/08",3,56,1956,"LV",NA
"Rasmussen","2/23-26/08","1600 LV",46,43,"-","-","-","-","+3R","2/23/08","2/26/08",4,55.5,1600,"LV","Rasmussen"
"Times/Bloomberg","2/21-25/08","1246 RV",44,42,"-","-","5","9","+2R","2/21/08","2/25/08",5,54,1246,"RV","NY Times"
"AP-Ipsos","2/22-24/08","1011 A",41,51,"-","-","6","2","+10D","2/22/08","2/24/08",3,54,1011,"A",NA
"USA Today/Gallup","2/21-24/08","1653 LV",48,47,"-","-","1","4","+1R","2/21/08","2/24/08",4,53.5,1653,"LV","Gallup"
"CBS/Times","2/20-24/08","1115 RV",38,50,"-","-","1","11","+12D","2/20/08","2/24/08",5,53,1115,"RV","NY Times"
"Pew","2/20-24/08","1240 RV",43,50,"-","-","-","7","+7D","2/20/08","2/24/08",5,53,1240,"RV",NA
"Rasmussen","2/19-22/08","1600 LV",46,43,"-","-","-","-","+3R","2/19/08","2/22/08",4,51.5,1600,"LV","Rasmussen"
"Research 2000","2/18-21/08","802 LV",44,50,"-","-","-","6","+6D","2/18/08","2/21/08",4,50.5,802,"LV",NA
"FOX","2/19-20/08","900 RV",43,47,"-","-","-","10","+4D","2/19/08","2/20/08",2,50.5,900,"RV","FOX"
"Economist/YouGov","2/19-20/08","1000 A",44,45,"-","-","-","14","+1D","2/19/08","2/20/08",2,50.5,1000,"A",NA
"Rasmussen","2/15-18/08","1600 LV",43,46,"-","-","-","-","+3D","2/15/08","2/18/08",4,47.5,1600,"LV","Rasmussen"
"Diageo/Hotline","2/14-17/08","801 RV",40,48,"-","-","-","12","+8D","2/14/08","2/17/08",4,46.5,801,"RV","Hotline"
"Zogby/Reuters","2/13-16/08","1015 LV",40,47,"-","-","4","8","+7D","2/13/08","2/16/08",4,45.5,1015,"LV","Zogby"
"Rasmussen","2/11-14/08","1600 LV",43,46,"-","-","-","-","+3D","2/11/08","2/14/08",4,43.5,1600,"LV","Rasmussen"
"Economist/YouGov","2/11-12/08","1000 A",39,49,"-","-","-","13","+10D","2/11/08","2/12/08",2,42.5,1000,"A",NA
"USA Today/Gallup","2/8-10/08","706 LV",46,50,"-","-","-","3","+4D","2/8/08","2/10/08",3,40,706,"LV","Gallup"
"AP-Ipsos","2/7-10/08","1029 A",42,48,"-","-","8","2","+6D","2/7/08","2/10/08",4,39.5,1029,"A",NA
"Rasmussen","2/7-10/08","1600 LV",40,44,"-","-","-","-","+4D","2/7/08","2/10/08",4,39.5,1600,"LV","Rasmussen"
"Rasmussen","2/3-6/08","1600 LV",43,46,"-","-","-","-","+3D","2/3/08","2/6/08",4,35.5,1600,"LV","Rasmussen"
"Economist/YouGov","2/4-5/08","1000 A",38,44,"-","-","-","18","+6D","2/4/08","2/5/08",2,35.5,1000,"A",NA
"Time","2/1-4/08","958 LV",41,48,"-","-","2","9","+7D","2/1/08","2/4/08",4,33.5,958,"LV",NA
"CNN","2/1-3/08","947 RV",44,52,"-","-","1","4","+8D","2/1/08","2/3/08",3,33,947,"RV","CNN"
"Cook/RT","1/31-2/2/08","855 RV",43,45,"-","-","2","9","+2D","1/31/08","2/2/08",3,32,855,"RV",NA
"ABC/Post","1/30-2/1/08","RV",48,47,"-","-","2","2","+1R","1/30/08","2/1/08",3,31,NA,"RV",NA
"FOX","1/30-31/08","900 RV",43,44,"-","-","-","13","+1D","1/30/08","1/31/08",2,30.5,900,"RV","FOX"
"NPR","1/29-31/08","1000 LV",48,47,"-","-","3","2","+1R","1/29/08","1/31/08",3,30,1000,"LV",NA
"Democracy Corps (D)","1/29-31/08","500 LV",48,47,"-","-","3","2","+1R","1/29/08","1/31/08",3,30,500,"LV",NA
"NBC/WSJ","1/20-22/08","1008 A",42,42,"-","-","6","10","0","1/20/08","1/22/08",3,21,1008,"A",NA
"Times/Bloomberg","1/18-22/08","1541 RV",42,41,"-","-","5","12","+1R","1/18/08","1/22/08",5,20,1541,"RV","NY Times"
"USA Today/Gallup","1/10-13/08","1598 LV",50,45,"-","-","1","4","+5R","1/10/08","1/13/08",4,11.5,1598,"LV","Gallup"
"Diageo/Hotline","1/10-12/08","803 RV",42,43,"-","-","-","14","+1D","1/10/08","1/12/08",3,11,803,"RV","Hotline"
"Zogby/Reuters","1/10-11/08","1006 LV",45,43,"-","-","-","-","+2R","1/10/08","1/11/08",2,10.5,1006,"LV","Zogby"
"CNN","1/8-10/08","840 RV",48,49,"-","-","-","3","+1D","1/8/08","1/10/08",3,9,840,"RV","CNN"
"FOX","12/18-19/07","900 RV",44,40,"-","-","-","17","+4R","12/18/07","12/19/07",2,-12.5,900,"RV","FOX"
"Rasmussen","12/14-16/07","800 LV",45,43,"-","-","9","3","+2R","12/14/07","12/16/07",3,-16,800,"LV","Rasmussen"
"Zogby","12/12-14/07","1000 LV",43,47,"-","-","-","-","+4D","12/12/07","12/14/07",3,-18,1000,"LV","Zogby"
"CNN","12/6-9/07","912 RV",48,48,"-","-","-","4","0","12/6/07","12/9/07",4,-23.5,912,"RV","CNN"
"Gallup","11/11-14/07","897 RV",44,47,"-","-","-","10","+3D","11/11/07","11/14/07",4,-48.5,897,"RV","Gallup"
"Quinnipiac","10/23-29/07","1636 RV",43,43,"-","-","3","8","0","10/23/07","10/29/07",7,-66,1636,"RV",NA
"Times/Bloomberg","10/19-22/07","1209 RV",36,44,"-","-","7","13","+8D","10/19/07","10/22/07",4,-71.5,1209,"RV","NY Times"
"Rasmussen","10/17-18/07","800 LV",45,44,"-","-","7","4","+1R","10/17/07","10/18/07",2,-74.5,800,"LV","Rasmussen"
"FOX","9/25-26/07","900 RV",38,40,"-","-","-","22","+2D","9/25/07","9/26/07",2,-96.5,900,"RV","FOX"
"Rasmussen","9/19-20/07","800 LV",41,46,"-","-","10","3","+5D","9/19/07","9/20/07",2,-102.5,800,"LV","Rasmussen"
"Rasmussen","8/15-16/07","800 LV",40,46,"-","-","10","4","+6D","8/15/07","8/16/07",2,-137.5,800,"LV","Rasmussen"
"Quinnipiac","8/7-13/07","1545 RV",39,43,"-","-","3","11","+4D","8/7/07","8/13/07",7,-143,1545,"RV",NA
"FOX","7/17-18/07","900 RV",37,47,"-","-","-","16","+10D","7/17/07","7/18/07",2,-166.5,900,"RV","FOX"
"Rasmussen","7/16-17/07","800 LV",38,47,"-","-","10","5","+9D","7/16/07","7/17/07",2,-167.5,800,"LV","Rasmussen"
"Zogby","7/12-14/07","1012 LV",42,45,"-","-","5","8","+3D","7/12/07","7/14/07",3,-171,1012,"LV","Zogby"
"CNN","6/22-24/07","907 RV",44,48,"-","-","-","8","+4D","6/22/07","6/24/07",3,-191,907,"RV","CNN"
"Newsweek","6/20-21/07","831 RV",41,51,"-","-","-","8","+10D","6/20/07","6/21/07",2,-193.5,831,"RV",NA
"Gallup","6/11-14/07","927 RV",46,48,"-","-","-","5","+2D","6/11/07","6/14/07",4,-201.5,927,"RV","Gallup"
"Quinnipiac","6/5-11/07","1711 RV",41,43,"-","-","3","10","+2D","6/5/07","6/11/07",7,-206,1711,"RV",NA
"Times/Bloomberg","6/7-10/07","1056 RV",35,47,"-","-","10","8","+12D","6/7/07","6/10/07",4,-205.5,1056,"RV","NY Times"
"Zogby","5/17-20/07","993 LV",43,46,"-","-","3","8","+3D","5/17/07","5/20/07",4,-226.5,993,"LV","Zogby"
"Diageo/Hotline","5/16-20/07","800 RV",39,42,"-","-","-","19","+3D","5/16/07","5/20/07",5,-227,800,"RV","Hotline"
"Newsweek","5/2-3/07","831 RV",39,52,"-","-","-","9","+13D","5/2/07","5/3/07",2,-242.5,831,"RV",NA
"Rasmussen","5/2-3/07","800 LV",42,46,"-","-","7","4","+4D","5/2/07","5/3/07",2,-242.5,800,"LV","Rasmussen"
"WNBC/Marist","4/26-5/1/07","823 RV",46,39,"-","-","-","15","+7R","4/26/07","5/1/07",6,-246.5,823,"RV",NA
"Quinnipiac","4/25-5/1/07","1166 RV",42,42,"-","-","2","12","0","4/25/07","5/1/07",7,-247,1166,"RV",NA
"Diageo/Hotline","4/26-30/07","801 RV",37,48,"-","-","-","15","+11D","4/26/07","4/30/07",5,-247,801,"RV","Hotline"
"NBC/WSJ","4/20-23/07","1004 A",39,45,"-","-","5","11","+6D","4/20/07","4/23/07",4,-253.5,1004,"A",NA
"Rasmussen","4/9-10/07","800 LV",42,48,"-","-","6","4","+6D","4/9/07","4/10/07",2,-265.5,800,"LV","Rasmussen"
"Times/Bloomberg","4/5-9/07","1246 RV",40,48,"-","-","5","7","+8D","4/5/07","4/9/07",5,-268,1246,"RV","NY Times"
"Time","4/5-9/07","1102 RV",42,47,"-","-","1","11","+5D","4/5/07","4/9/07",5,-268,1102,"RV",NA
"Time","3/23-26/07","1102 RV",45,43,"-","-","1","11","+2R","3/23/07","3/26/07",4,-281.5,1102,"RV",NA
"McLaughlin (R)","3/21-25/07","1000 LV",38,39,"-","-","-","23","+1D","3/21/07","3/25/07",5,-283,1000,"LV",NA
"Democracy Corps (D)","3/20-25/07","763 LV",43,50,"-","-","2","4","+7D","3/20/07","3/25/07",6,-283.5,763,"LV",NA
"Rasmussen","3/14-15/07","800 LV",44,44,"-","-","8","3","0","3/14/07","3/15/07",2,-291.5,800,"LV","Rasmussen"
"Time","3/9-12/07","1918 RV",41,44,"-","-","1","13","+3D","3/9/07","3/12/07",4,-295.5,1918,"RV",NA
"ARG","3/2-5/07","2104 LV",46,42,"-","-","-","12","+4R","3/2/07","3/5/07",4,-302.5,2104,"LV",NA
"Newsweek","2/28-3/1/07","1202 RV",43,45,"-","-","-","12","+2D","2/28/07","3/1/07",2,-305.5,1202,"RV",NA
"Time","2/23-26/07","1144 RV",42,46,"-","-","1","11","+4D","2/23/07","2/26/07",4,-309.5,1144,"RV",NA
"Zogby","2/22-24/07","1078 LV",40,44,"-","-","3","13","+4D","2/22/07","2/24/07",3,-311,1078,"LV","Zogby"
"Quinnipiac","2/13-19/07","1536 RV",43,43,"-","-","1","10","0","2/13/07","2/19/07",7,-318,1536,"RV",NA
"WNBC/Marist","2/12-15/07","978 RV",44,41,"-","-","-","15","+3R","2/12/07","2/15/07",4,-320.5,978,"RV",NA
"USA Today/Gallup","2/9-11/07","936 RV",48,48,"-","-","-","4","0","2/9/07","2/11/07",3,-324,936,"RV","Gallup"
"Rasmussen","2/7-8/07","800 LV",44,44,"-","-","7","5","0","2/7/07","2/8/07",2,-326.5,800,"LV","Rasmussen"
"Newsweek","1/24-25/07","837 RV",42,48,"-","-","-","10","+6D","1/24/07","1/25/07",2,-340.5,837,"RV",NA
"Time","1/22-23/07","1064 RV",49,42,"-","-","-","8","+7R","1/22/07","1/23/07",2,-342.5,1064,"RV",NA
"ABC/Post","1/16-19/07","1000 A",45,47,"-","-","3","3","+2D","1/16/07","1/19/07",4,-347.5,1000,"A",NA
"Newsweek","1/17-18/07","1003 RV",44,46,"-","-","-","10","+2D","1/17/07","1/18/07",2,-347.5,1003,"RV",NA
"Rasmussen","1/17-18/07","800 LV",44,47,"-","-","6","4","+3D","1/17/07","1/18/07",2,-347.5,800,"LV","Rasmussen"
"Diageo/Hotline","1/11-14/07","800 RV",43,38,"-","-","-","20","+5R","1/11/07","1/14/07",4,-352.5,800,"RV","Hotline"
"GWU (Lake/Tarrance)","1/8-11/07","1000 LV",51,39,"-","-","-","10","+12R","1/8/07","1/11/07",4,-355.5,1000,"LV","GWU"
"IBD/TIPP","1/2-4/07","951 A",48,36,"-","-","6","10","+12R","1/2/07","1/4/07",3,-362,951,"A",NA
